Layer,num. MACs,num. MACs used,total energy (uJ),area (mm^2),total computing cycle,computing cycles,weight size (RF),num weight RF,weight num RF read,weight num RF update,weight num RF write,weight RF read BW (words/cycle),weight RF write BW (words/cycle),input size (RF),num input RF,input num RF read,input num RF update,input num RF write,input RF read BW (words/cycle),input RF write BW (words/cycle),output size (RF),num output RF,output num RF read,output num RF update,output num RF write,output RF read BW (words/cycle),output RF write BW (words/cycle),weight size (GB),weight num GB read,weight num GB update,weight num GB write,weight GB read BW (words/cycle),weight GB write BW (words/cycle),input size (GB),input num GB read,input num GB update,input num GB write,input GB read BW (words/cycle),input GB write BW (words/cycle),output size (GB),output num GB read,output num GB update,output num GB write,output GB read BW (words/cycle),output GB write BW (words/cycle),weight size (DRAM),weight num DRAM read,weight num DRAM update,weight num DRAM write,weight DRAM read BW (words/cycle),weight DRAM write BW (words/cycle),input size (DRAM),input num DRAM read,input num DRAM update,input num DRAM write,input DRAM read BW (words/cycle),input DRAM write BW (words/cycle),output size (DRAM),output num DRAM read,output num DRAM update,output num DRAM write,output DRAM read BW (words/cycle),output DRAM write BW (words/cycle)
layer1,256,48,1231.43,16.62,3662849,2458624,196,48,2458624,0,196,0.67 words/cycle,0.00 words/cycle,52441,48,2458624,0,359072,0.67 words/cycle,0.10 words/cycle,50176,48,2408448,2458624,351232,0.66 words/cycle,0.77 words/cycle,9408,9408,0,9408,0.00 words/cycle,0.00 words/cycle,157323,1077216,0,157323,0.44 words/cycle,0.06 words/cycle,802816,4816896,5619712,802816,1.96 words/cycle,2.61 words/cycle,9408,9408,0,0,0.00 words/cycle,0.00 words/cycle,157323,157323,0,0,0.06 words/cycle,0.00 words/cycle,802816,0,802816,0,0.00 words/cycle,0.33 words/cycle
layer2,256,256,1184.01,16.62,671104,451584,144,256,451584,0,144,0.67 words/cycle,0.00 words/cycle,13456,256,451584,0,155904,0.67 words/cycle,0.23 words/cycle,12544,256,439040,451584,50176,0.65 words/cycle,0.75 words/cycle,36864,36864,0,36864,0.08 words/cycle,0.08 words/cycle,215296,2494464,0,215296,5.52 words/cycle,0.48 words/cycle,200704,602112,802816,200704,1.33 words/cycle,2.22 words/cycle,36864,36864,0,0,0.08 words/cycle,0.00 words/cycle,215296,215296,0,0,0.48 words/cycle,0.00 words/cycle,200704,0,200704,0,0.00 words/cycle,0.44 words/cycle
layer3,256,256,1184.01,16.62,671104,451584,144,256,451584,0,144,0.67 words/cycle,0.00 words/cycle,13456,256,451584,0,155904,0.67 words/cycle,0.23 words/cycle,12544,256,439040,451584,50176,0.65 words/cycle,0.75 words/cycle,36864,36864,0,36864,0.08 words/cycle,0.08 words/cycle,215296,2494464,0,215296,5.52 words/cycle,0.48 words/cycle,200704,602112,802816,200704,1.33 words/cycle,2.22 words/cycle,36864,36864,0,0,0.08 words/cycle,0.00 words/cycle,215296,215296,0,0,0.48 words/cycle,0.00 words/cycle,200704,0,200704,0,0.00 words/cycle,0.44 words/cycle
layer4,256,256,1184.01,16.62,671104,451584,144,256,451584,0,144,0.67 words/cycle,0.00 words/cycle,13456,256,451584,0,155904,0.67 words/cycle,0.23 words/cycle,12544,256,439040,451584,50176,0.65 words/cycle,0.75 words/cycle,36864,36864,0,36864,0.08 words/cycle,0.08 words/cycle,215296,2494464,0,215296,5.52 words/cycle,0.48 words/cycle,200704,602112,802816,200704,1.33 words/cycle,2.22 words/cycle,36864,36864,0,0,0.08 words/cycle,0.00 words/cycle,215296,215296,0,0,0.48 words/cycle,0.00 words/cycle,200704,0,200704,0,0.00 words/cycle,0.44 words/cycle
layer5,256,256,1184.01,16.62,671104,451584,144,256,451584,0,144,0.67 words/cycle,0.00 words/cycle,13456,256,451584,0,155904,0.67 words/cycle,0.23 words/cycle,12544,256,439040,451584,50176,0.65 words/cycle,0.75 words/cycle,36864,36864,0,36864,0.08 words/cycle,0.08 words/cycle,215296,2494464,0,215296,5.52 words/cycle,0.48 words/cycle,200704,602112,802816,200704,1.33 words/cycle,2.22 words/cycle,36864,36864,0,0,0.08 words/cycle,0.00 words/cycle,215296,215296,0,0,0.48 words/cycle,0.00 words/cycle,200704,0,200704,0,0.00 words/cycle,0.44 words/cycle
layer6,256,256,625.65,16.62,335552,225792,288,256,225792,0,288,0.67 words/cycle,0.00 words/cycle,12996,256,225792,0,38304,0.67 words/cycle,0.11 words/cycle,6272,256,219520,225792,75264,0.65 words/cycle,0.90 words/cycle,73728,73728,0,73728,0.33 words/cycle,0.33 words/cycle,207936,612864,0,415872,2.71 words/cycle,1.84 words/cycle,100352,1103872,1204224,100352,4.89 words/cycle,5.78 words/cycle,73728,73728,0,0,0.33 words/cycle,0.00 words/cycle,207936,415872,0,0,1.84 words/cycle,0.00 words/cycle,100352,0,100352,0,0.00 words/cycle,0.44 words/cycle
layer6_bp,256,256,97.48,16.62,34496,25088,32,256,25088,0,32,0.73 words/cycle,0.00 words/cycle,12100,256,25088,0,12544,0.73 words/cycle,0.36 words/cycle,6272,256,18816,25088,25088,0.55 words/cycle,1.45 words/cycle,8192,8192,0,8192,0.33 words/cycle,0.33 words/cycle,193600,200704,0,193600,8.00 words/cycle,7.72 words/cycle,100352,301056,401408,100352,12.00 words/cycle,20.00 words/cycle,8192,8192,0,0,0.33 words/cycle,0.00 words/cycle,193600,193600,0,0,7.72 words/cycle,0.00 words/cycle,100352,0,100352,0,0.00 words/cycle,4.00 words/cycle
layer7,256,256,1192.95,16.62,674240,451584,576,256,451584,0,576,0.67 words/cycle,0.00 words/cycle,7200,256,451584,0,161280,0.67 words/cycle,0.24 words/cycle,6272,256,445312,451584,50176,0.66 words/cycle,0.74 words/cycle,147456,147456,0,147456,0.33 words/cycle,0.33 words/cycle,115200,2580480,0,230400,5.71 words/cycle,0.51 words/cycle,100352,702464,802816,100352,1.56 words/cycle,2.00 words/cycle,147456,147456,0,0,0.33 words/cycle,0.00 words/cycle,115200,230400,0,0,0.51 words/cycle,0.00 words/cycle,100352,0,100352,0,0.00 words/cycle,0.22 words/cycle
layer8,256,256,1192.95,16.62,674240,451584,576,256,451584,0,576,0.67 words/cycle,0.00 words/cycle,7200,256,451584,0,161280,0.67 words/cycle,0.24 words/cycle,6272,256,445312,451584,50176,0.66 words/cycle,0.74 words/cycle,147456,147456,0,147456,0.33 words/cycle,0.33 words/cycle,115200,2580480,0,230400,5.71 words/cycle,0.51 words/cycle,100352,702464,802816,100352,1.56 words/cycle,2.00 words/cycle,147456,147456,0,0,0.33 words/cycle,0.00 words/cycle,115200,230400,0,0,0.51 words/cycle,0.00 words/cycle,100352,0,100352,0,0.00 words/cycle,0.22 words/cycle
layer9,256,256,1192.95,16.62,674240,451584,576,256,451584,0,576,0.67 words/cycle,0.00 words/cycle,7200,256,451584,0,161280,0.67 words/cycle,0.24 words/cycle,6272,256,445312,451584,50176,0.66 words/cycle,0.74 words/cycle,147456,147456,0,147456,0.33 words/cycle,0.33 words/cycle,115200,2580480,0,230400,5.71 words/cycle,0.51 words/cycle,100352,702464,802816,100352,1.56 words/cycle,2.00 words/cycle,147456,147456,0,0,0.33 words/cycle,0.00 words/cycle,115200,230400,0,0,0.51 words/cycle,0.00 words/cycle,100352,0,100352,0,0.00 words/cycle,0.22 words/cycle
layer10,256,256,723.68,16.62,337120,225792,1152,256,225792,0,1152,0.67 words/cycle,0.00 words/cycle,6728,256,225792,0,56448,0.67 words/cycle,0.17 words/cycle,3136,256,222656,225792,225792,0.66 words/cycle,1.34 words/cycle,294912,294912,0,294912,1.31 words/cycle,1.31 words/cycle,107648,903168,0,107648,4.00 words/cycle,0.48 words/cycle,50176,3562496,3612672,50176,15.78 words/cycle,16.22 words/cycle,294912,294912,0,0,1.31 words/cycle,0.00 words/cycle,107648,107648,0,0,0.48 words/cycle,0.00 words/cycle,50176,0,50176,0,0.00 words/cycle,0.22 words/cycle
layer10_bp,256,256,90.89,16.62,36064,25088,128,256,25088,0,128,0.70 words/cycle,0.00 words/cycle,5832,256,25088,0,12544,0.70 words/cycle,0.35 words/cycle,3136,256,21952,25088,25088,0.61 words/cycle,1.39 words/cycle,32768,32768,0,32768,1.31 words/cycle,1.31 words/cycle,93312,200704,0,93312,8.00 words/cycle,3.72 words/cycle,50176,351232,401408,50176,14.00 words/cycle,18.00 words/cycle,32768,32768,0,0,1.31 words/cycle,0.00 words/cycle,93312,93312,0,0,3.72 words/cycle,0.00 words/cycle,50176,0,50176,0,0.00 words/cycle,2.00 words/cycle
layer11,256,256,1435.64,16.62,675808,451584,2304,256,451584,0,2304,0.67 words/cycle,0.00 words/cycle,4096,256,451584,0,112896,0.67 words/cycle,0.17 words/cycle,3136,256,448448,451584,451584,0.66 words/cycle,1.34 words/cycle,589824,589824,0,589824,1.31 words/cycle,1.31 words/cycle,65536,1806336,0,65536,4.00 words/cycle,0.15 words/cycle,50176,7175168,7225344,50176,15.89 words/cycle,16.11 words/cycle,589824,589824,0,0,1.31 words/cycle,0.00 words/cycle,65536,65536,0,0,0.15 words/cycle,0.00 words/cycle,50176,0,50176,0,0.00 words/cycle,0.11 words/cycle
layer12,256,256,1435.64,16.62,675808,451584,2304,256,451584,0,2304,0.67 words/cycle,0.00 words/cycle,4096,256,451584,0,112896,0.67 words/cycle,0.17 words/cycle,3136,256,448448,451584,451584,0.66 words/cycle,1.34 words/cycle,589824,589824,0,589824,1.31 words/cycle,1.31 words/cycle,65536,1806336,0,65536,4.00 words/cycle,0.15 words/cycle,50176,7175168,7225344,50176,15.89 words/cycle,16.11 words/cycle,589824,589824,0,0,1.31 words/cycle,0.00 words/cycle,65536,65536,0,0,0.15 words/cycle,0.00 words/cycle,50176,0,50176,0,0.00 words/cycle,0.11 words/cycle
layer13,256,256,1435.64,16.62,675808,451584,2304,256,451584,0,2304,0.67 words/cycle,0.00 words/cycle,4096,256,451584,0,112896,0.67 words/cycle,0.17 words/cycle,3136,256,448448,451584,451584,0.66 words/cycle,1.34 words/cycle,589824,589824,0,589824,1.31 words/cycle,1.31 words/cycle,65536,1806336,0,65536,4.00 words/cycle,0.15 words/cycle,50176,7175168,7225344,50176,15.89 words/cycle,16.11 words/cycle,589824,589824,0,0,1.31 words/cycle,0.00 words/cycle,65536,65536,0,0,0.15 words/cycle,0.00 words/cycle,50176,0,50176,0,0.00 words/cycle,0.11 words/cycle
layer14,256,256,672.54,16.62,337904,225792,4608,256,225792,0,4608,0.67 words/cycle,0.01 words/cycle,3600,256,225792,0,80640,0.67 words/cycle,0.24 words/cycle,1568,256,224224,225792,25088,0.66 words/cycle,0.74 words/cycle,1179648,1179648,0,1179648,5.22 words/cycle,5.22 words/cycle,57600,1290240,0,57600,5.71 words/cycle,0.26 words/cycle,25088,376320,401408,25088,1.67 words/cycle,1.89 words/cycle,1179648,1179648,0,0,5.22 words/cycle,0.00 words/cycle,57600,57600,0,0,0.26 words/cycle,0.00 words/cycle,25088,0,25088,0,0.00 words/cycle,0.11 words/cycle
